timestamp,type,event_number,adc,elapsed_ms,dead_time_ms,temperature,pressure,detector_id
2026-09-05 11:57:31,B,4586,296,3236468,4980,28.7,1021.9,56-614-135
2026-09-05 11:57:32,B,4587,103,3237185,4984,28.7,1021.9,56-614-135
2026-09-05 11:57:32,T,3880,127,3237294,2337,28.7,1021.9,56-614-135
2026-09-05 11:57:32,B,4588,472,3237333,4984,28.7,1021.9,56-614-135
2026-09-05 11:57:32,B,4589,682,3237611,4984,28.7,1021.9,56-614-135
2026-09-05 11:57:33,B,4590,296,3237988,4988,28.7,1021.9,56-614-135
2026-09-05 11:57:33,B,4591,487,3238271,4988,28.7,1021.9,56-614-135
2026-09-05 11:57:33,T,3881,357,3238276,2338,28.7,1021.9,56-614-135
2026-09-05 11:57:33,B,4592,505,3238511,4988,28.7,1021.9,56-614-135
2026-09-05 11:57:34,T,3882,127,3239454,2339,28.7,1021.9,56-614-135
2026-09-05 11:57:34,T,3883,196,3239551,2339,28.7,1021.9,56-614-135
2026-09-05 11:57:35,B,4593,382,3240483,4991,28.7,1021.9,56-614-135
2026-09-05 11:57:35,T,3884,314,3240764,2340,28.7,1021.9,56-614-135
2026-09-05 11:57:35,B,4594,112,3240764,4991,28.7,1021.9,56-614-135
2026-09-05 11:57:35,C,694,213,3240764,3665,28.7,1021.9,56-614-135
2026-09-05 11:57:36,B,4595,230,3240946,4995,28.7,1021.9,56-614-135
2026-09-05 11:57:36,B,4596,538,3241010,4995,28.7,1021.9,56-614-135
2026-09-05 11:57:36,B,4597,81,3241111,4995,28.7,1021.9,56-614-135
2026-09-05 11:57:36,B,4598,200,3241262,4995,28.7,1021.9,56-614-135
2026-09-05 11:57:37,T,3885,193,3242184,2341,28.7,1021.9,56-614-135
2026-09-05 11:57:37,T,3886,124,3242619,2341,28.7,1021.9,56-614-135
2026-09-05 11:57:38,T,3887,594,3243066,2342,28.7,1021.9,56-614-135
2026-09-05 11:57:39,B,4599,64,3244782,4997,28.7,1021.9,56-614-135
